method,id,set,group_id,fold,score,boundary,tie,predicted_fpq
text,fpq_105,fpq,g_ec056b6d089273ff,0,0.11787831687018241,0.0,0,1
text,fpq_111,fpq,g_1c2c52fa313ede3f,0,0.1161088304270595,0.0,0,1
text,fpq_116,fpq,g_1df5c809ca4cda6e,0,0.15076031170175347,0.0,0,1
text,fpq_120,fpq,g_3fb9a79c10c3fa86,0,0.030298339880168404,0.0,0,1
text,fpq_141,fpq,g_c76ca195098fc516,0,0.14923284494032338,0.0,0,1
text,fpq_145,fpq,g_cbd8e06081de3089,0,0.03763593031590456,0.0,0,1
text,fpq_146,fpq,g_cbd8e06081de3089,0,0.1088494150324381,0.0,0,1
text,fpq_147,fpq,g_cbd8e06081de3089,0,0.08008185694554712,0.0,0,1
text,fpq_148,fpq,g_cbd8e06081de3089,0,0.13252980506087642,0.0,0,1
text,fpq_155,fpq,g_e2560f21ed8b4e5b,0,0.13201723217761974,0.0,0,1
text,fpq_157,fpq,g_cbd8e06081de3089,0,0.07350897714738658,0.0,0,1
text,fpq_158,fpq,g_cbd8e06081de3089,0,0.060798561570757734,0.0,0,1
text,fpq_160,fpq,g_6a2cab99d0c153e5,0,0.069455709155065,0.0,0,1
text,fpq_164,fpq,g_63b9cf63c154dc5d,0,0.10944236930570486,0.0,0,1
text,fpq_166,fpq,g_bf573c2922a5f433,0,0.004515387821648939,0.0,0,1
text,fpq_167,fpq,g_bf573c2922a5f433,0,0.018228379478075374,0.0,0,1
text,fpq_19,fpq,g_8124cae742b6aad4,0,0.10754792787745442,0.0,0,1
text,fpq_20,fpq,g_8124cae742b6aad4,0,0.06356944473612808,0.0,0,1
text,fpq_204,fpq,g_9dd8d2fc49205f38,0,0.15042282008358315,0.0,0,1
text,fpq_21,fpq,g_8124cae742b6aad4,0,0.0849504499922329,0.0,0,1
text,fpq_221,fpq,g_355ddd3fdc98bf5b,0,0.11751996803338363,0.0,0,1
text,fpq_223,fpq,g_ea3b58fed498a2f5,0,0.08155522689689956,0.0,0,1
text,fpq_226,fpq,g_306c413840376c8c,0,0.03996473776734935,0.0,0,1
text,fpq_229,fpq,g_bb84c04480c36968,0,0.04379513062425426,0.0,0,1
text,fpq_246,fpq,g_b60861031335942c,0,-0.05283352392893452,0.0,0,0
text,fpq_252,fpq,g_968ca6cdf6cf36dc,0,0.060024248649624586,0.0,0,1
text,fpq_253,fpq,g_968ca6cdf6cf36dc,0,-0.008839268584012613,0.0,0,0
text,fpq_254,fpq,g_968ca6cdf6cf36dc,0,0.0875319851515548,0.0,0,1
text,fpq_28,fpq,g_c385ff6e98a203cc,0,0.1708958666961402,0.0,0,1
text,fpq_29,fpq,g_c385ff6e98a203cc,0,0.11549743794442223,0.0,0,1
text,fpq_293,fpq,g_f52bbf2446ee723e,0,0.08872126814139988,0.0,0,1
text,fpq_294,fpq,g_f52bbf2446ee723e,0,0.12211952278444933,0.0,0,1
text,fpq_296,fpq,g_f85a9e0ea828ee7c,0,-0.030246234837037908,0.0,0,0
text,fpq_308,fpq,g_cbd8e06081de3089,0,0.07512147146881448,0.0,0,1
text,fpq_312,fpq,g_bdbdf9f140ffb344,0,-0.0656673848363712,0.0,0,0
text,fpq_313,fpq,g_bdbdf9f140ffb344,0,0.03418611809663963,0.0,0,1
text,fpq_327,fpq,g_7c6e8dcf510c5f13,0,-0.05628489492004886,0.0,0,0
text,fpq_350,fpq,g_44163c72fa9d592b,0,0.07020275541256363,0.0,0,1
text,fpq_359,fpq,g_d28854be1aad3c97,0,0.13024286210168715,0.0,0,1
text,fpq_361,fpq,g_a9acc1858fdfd3e2,0,0.1148743325091011,0.0,0,1
text,fpq_362,fpq,g_a9acc1858fdfd3e2,0,-0.022470676313333757,0.0,0,0
text,fpq_394,fpq,g_bebaa054083074e9,0,0.04246208260322147,0.0,0,1
text,fpq_395,fpq,g_bebaa054083074e9,0,-0.018671095035943067,0.0,0,0
text,fpq_397,fpq,g_1f5469f09b16ecc3,0,0.023592212525106265,0.0,0,1
text,fpq_400,fpq,g_94c0fe3211436732,0,0.002300756058824946,0.0,0,1
text,fpq_403,fpq,g_94c0fe3211436732,0,0.09940429738330654,0.0,0,1
text,fpq_421,fpq,g_609a2b6d9e5999b2,0,0.07890444981214005,0.0,0,1
text,fpq_422,fpq,g_134b06bfa149feb0,0,0.09336993660298684,0.0,0,1
text,fpq_423,fpq,g_134b06bfa149feb0,0,0.09155663271131961,0.0,0,1
text,fpq_425,fpq,g_107eb984d25ea5ab,0,0.1129429590513847,0.0,0,1
text,fpq_426,fpq,g_107eb984d25ea5ab,0,0.09687669322413306,0.0,0,1
text,fpq_45,fpq,g_3a1d44267b620661,0,0.04655898928370029,0.0,0,1
text,fpq_477,fpq,g_ad1bc9af0bd65616,0,-0.02991561115001974,0.0,0,0
text,fpq_479,fpq,g_322ef7eb4b0b8b42,0,0.024451813378471146,0.0,0,1
