method,id,set,group_id,gate_on
cot,fpq_0,fpq,g_c1ffacffb4788c0f,1
cot,fpq_10,fpq,g_9d7d75a393bdae8d,1
cot,fpq_100,fpq,g_c0997e51d65d0496,1
cot,fpq_101,fpq,g_a123af131f86bff4,0
cot,fpq_102,fpq,g_b90ce2335181429d,1
cot,fpq_103,fpq,g_2a5a6ba709d1e6ba,1
cot,fpq_105,fpq,g_ec056b6d089273ff,0
cot,fpq_106,fpq,g_3cf0e37d5cc8e4c7,0
cot,fpq_107,fpq,g_5259300d91a12b52,1
cot,fpq_108,fpq,g_7680854e5870d6a8,1
cot,fpq_109,fpq,g_301c7d61ec58c026,1
cot,fpq_11,fpq,g_9d7d75a393bdae8d,1
cot,fpq_110,fpq,g_aa56a97d51214254,1
cot,fpq_111,fpq,g_1c2c52fa313ede3f,1
cot,fpq_112,fpq,g_879787cb22d42c3c,1
cot,fpq_113,fpq,g_19560cae4bb38fd5,1
cot,fpq_114,fpq,g_19560cae4bb38fd5,0
cot,fpq_115,fpq,g_4ef5f78c47d2ac9a,1
cot,fpq_116,fpq,g_1df5c809ca4cda6e,1
cot,fpq_12,fpq,g_9d7d75a393bdae8d,1
cot,fpq_120,fpq,g_3fb9a79c10c3fa86,1
cot,fpq_121,fpq,g_a004f0219676686b,1
cot,fpq_122,fpq,g_8959d577de788314,1
cot,fpq_123,fpq,g_8959d577de788314,0
cot,fpq_124,fpq,g_e2d68552015e18cb,1
cot,fpq_125,fpq,g_ae1f993609e0900e,1
cot,fpq_126,fpq,g_a41667cd357f463a,0
cot,fpq_127,fpq,g_42420d5cc72330bd,1
cot,fpq_128,fpq,g_8428aa2091ed4e7b,1
cot,fpq_129,fpq,g_60f23bee598c8a90,1
cot,fpq_13,fpq,g_33ec048c88198b1f,0
cot,fpq_130,fpq,g_60f23bee598c8a90,1
cot,fpq_131,fpq,g_bb3764790e6c2dc6,1
cot,fpq_133,fpq,g_bb3764790e6c2dc6,1
cot,fpq_134,fpq,g_bb3764790e6c2dc6,1
cot,fpq_135,fpq,g_bb3764790e6c2dc6,1
cot,fpq_136,fpq,g_26c337973a2f5ce8,1
cot,fpq_137,fpq,g_b12e6db2bc0d7d79,1
cot,fpq_138,fpq,g_44f5cd810df0d346,0
cot,fpq_139,fpq,g_a4f8a8e72b9e76b4,1
cot,fpq_14,fpq,g_33ec048c88198b1f,1
cot,fpq_140,fpq,g_97e33d338b97afcd,1
cot,fpq_141,fpq,g_c76ca195098fc516,1
cot,fpq_142,fpq,g_4b774c3ac99a8ba1,1
cot,fpq_143,fpq,g_6e51e9ca91a6b310,0
cot,fpq_144,fpq,g_6e51e9ca91a6b310,1
cot,fpq_145,fpq,g_cbd8e06081de3089,1
cot,fpq_146,fpq,g_cbd8e06081de3089,1
cot,fpq_147,fpq,g_cbd8e06081de3089,1
cot,fpq_148,fpq,g_cbd8e06081de3089,1
cot,fpq_149,fpq,g_f2bcd9d2bd1368c5,1
cot,fpq_15,fpq,g_bf7120dde2b7a065,1
cot,fpq_152,fpq,g_b825b5f2564f6566,0
cot,fpq_153,fpq,g_b825b5f2564f6566,0
cot,fpq_155,fpq,g_e2560f21ed8b4e5b,1
cot,fpq_156,fpq,g_114ce7da3672d3c4,1
cot,fpq_157,fpq,g_cbd8e06081de3089,1
cot,fpq_158,fpq,g_cbd8e06081de3089,1
cot,fpq_159,fpq,g_e7e954d0b1a2d7b7,0
cot,fpq_16,fpq,g_e49099b5a9af7fe5,1
cot,fpq_160,fpq,g_6a2cab99d0c153e5,0
cot,fpq_163,fpq,g_7a7d282b958f2563,0
cot,fpq_164,fpq,g_63b9cf63c154dc5d,0
cot,fpq_165,fpq,g_543e733353e62deb,1
cot,fpq_166,fpq,g_bf573c2922a5f433,0
cot,fpq_167,fpq,g_bf573c2922a5f433,0
cot,fpq_168,fpq,g_2de0355108a13af1,0
cot,fpq_169,fpq,g_387557522a3aaca9,1
cot,fpq_17,fpq,g_e49099b5a9af7fe5,1
cot,fpq_170,fpq,g_387557522a3aaca9,1
cot,fpq_173,fpq,g_5e7c0751a50b4597,1
cot,fpq_174,fpq,g_262103bde855ebbb,1
cot,fpq_175,fpq,g_614ac7f0c4db59da,1
cot,fpq_176,fpq,g_cffe4000b1433224,1
cot,fpq_177,fpq,g_cffe4000b1433224,0
cot,fpq_178,fpq,g_cffe4000b1433224,1
cot,fpq_179,fpq,g_cffe4000b1433224,0
cot,fpq_18,fpq,g_db45277df8b457d2,0
cot,fpq_180,fpq,g_27cdcf98645f7331,1
cot,fpq_181,fpq,g_d8d1c195dfeca667,1
cot,fpq_182,fpq,g_d8d1c195dfeca667,1
cot,fpq_184,fpq,g_d8d1c195dfeca667,1
