run,id,group,score
twin_s4,fpq_0,fpq,4
twin_s4,fpq_100,fpq,1
twin_s4,fpq_101,fpq,1
twin_s4,fpq_101_true_836c14,modified_question,5
twin_s4,fpq_105,fpq,2
twin_s4,fpq_105_true_caf98a,modified_question,2
twin_s4,fpq_111,fpq,1
twin_s4,fpq_111_true_6fa5e3,modified_question,1
twin_s4,fpq_112,fpq,1
twin_s4,fpq_112_true_8c829e,modified_question,5
twin_s4,fpq_113,fpq,1
twin_s4,fpq_113_true_1cc225,modified_question,4
twin_s4,fpq_114,fpq,4
twin_s4,fpq_114_true_553ca7,modified_question,2
twin_s4,fpq_115,fpq,1
twin_s4,fpq_115_true_8ad45f,modified_question,1
twin_s4,fpq_116,fpq,1
twin_s4,fpq_116_true_66fcca,modified_question,5
twin_s4,fpq_120,fpq,1
twin_s4,fpq_126,fpq,1
twin_s4,fpq_126_true_416706,modified_question,5
twin_s4,fpq_136,fpq,2
twin_s4,fpq_140,fpq,1
twin_s4,fpq_141,fpq,2
twin_s4,fpq_141_true_41ff0c,modified_question,1
twin_s4,fpq_145,fpq,4
twin_s4,fpq_145_true_9f6c79,modified_question,1
twin_s4,fpq_146,fpq,1
twin_s4,fpq_146_true_42fa00,modified_question,5
twin_s4,fpq_147,fpq,4
twin_s4,fpq_148,fpq,4
twin_s4,fpq_148_true_e42361,modified_question,5
twin_s4,fpq_155,fpq,1
twin_s4,fpq_157,fpq,4
twin_s4,fpq_158,fpq,4
twin_s4,fpq_158_true_da4b66,modified_question,5
twin_s4,fpq_16,fpq,1
twin_s4,fpq_160,fpq,1
twin_s4,fpq_160_true_2124b0,modified_question,1
twin_s4,fpq_164,fpq,1
twin_s4,fpq_166,fpq,1
twin_s4,fpq_166_true_34bf22,modified_question,4
twin_s4,fpq_167,fpq,1
twin_s4,fpq_17,fpq,4
twin_s4,fpq_176,fpq,4
twin_s4,fpq_177,fpq,1
twin_s4,fpq_178,fpq,1
twin_s4,fpq_178_true_2a304c,modified_question,5
twin_s4,fpq_179,fpq,2
twin_s4,fpq_179_true_2602cc,modified_question,5
twin_s4,fpq_17_true_548005,modified_question,1
twin_s4,fpq_18,fpq,4
twin_s4,fpq_188,fpq,4
twin_s4,fpq_188_true_7e3ae6,modified_question,1
twin_s4,fpq_18_true_ddef4d,modified_question,2
twin_s4,fpq_19,fpq,1
twin_s4,fpq_196,fpq,4
twin_s4,fpq_196_true_c904bc,modified_question,2
twin_s4,fpq_2,fpq,4
twin_s4,fpq_20,fpq,4
