method,id,set,group_id,partition,false_score,gate_on,premise_count,record_sha256
verify_extracted,fpq_0,fpq,g_c1ffacffb4788c0f,dev,0.1,0,4,835d365ec5ecc12f763bd18cbe5226a390231e4fcc14c8bb59f3b7139ef0a3f1
verify_extracted,fpq_10,fpq,g_9d7d75a393bdae8d,fit,0.0,0,3,ceadd07e84a8bb52ddec33859ae6d5eac97edabf7fc8acfc14cf9385a3f62cb1
verify_extracted,fpq_101,fpq,g_a123af131f86bff4,dev,0.01,0,5,7b5f3378ae3994fb1fe9e3c892579ff9729e555ac0a3578d13123849e6b92518
verify_extracted,fpq_102,fpq,g_b90ce2335181429d,fit,0.0,0,3,28c5f8955397d9092664040ac914f60f12839efed4136be1e13b0d84b8277dcc
verify_extracted,fpq_103,fpq,g_2a5a6ba709d1e6ba,fit,0.0,0,4,8d235ee4ff1aeb72294964442ec35007ed8b90a7deb2b6d614964f51eb47db67
verify_extracted,fpq_105,fpq,g_ec056b6d089273ff,test,0.01,0,3,4fad21d293d112bab2edce730baf01c082b907410674f2f9a8306acf76dbb9b3
verify_extracted,fpq_106,fpq,g_3cf0e37d5cc8e4c7,fit,0.05,0,3,9c16e49ba559efa8ec527dec57d3908a65cc6d9e3e7737242fd7b5ab85583960
verify_extracted,fpq_107,fpq,g_5259300d91a12b52,fit,0.01,0,5,25d0efcf74710fe0e829437a1e0a2ffbf9f31dfc5babadf55bbf3b61ba981d68
verify_extracted,fpq_108,fpq,g_7680854e5870d6a8,fit,0.0,0,2,7c7a9b4bdf1902824f64afb3b694305d64946192fe08badd398e6bfde8815c01
verify_extracted,fpq_109,fpq,g_301c7d61ec58c026,fit,0.0,0,2,75b7488575f21b0bc9ee383811d596150cb53c4cf1ffa455032697c76702408e
verify_extracted,fpq_11,fpq,g_9d7d75a393bdae8d,fit,0.25,0,3,62d8a8b946dc357b7171f787946a5b42cbd46608cc26bc943543e3ed1d17ae83
verify_extracted,fpq_110,fpq,g_aa56a97d51214254,fit,0.0,0,3,e3f32044b29581e09daf024a84ef5da736681899de7c023c9fd8efb477c64bfd
verify_extracted,fpq_111,fpq,g_1c2c52fa313ede3f,test,0.05,0,3,91d54eadb1fa240c837866cce6deb5e3d135d9a873f2ce9add4a4dd0423727a0
verify_extracted,fpq_112,fpq,g_879787cb22d42c3c,dev,0.02,0,4,ecf9c38496545107b443920568225173e386782eec413d87391ee6612f0395e1
verify_extracted,fpq_113,fpq,g_19560cae4bb38fd5,dev,0.0,0,3,c706997980ab0f0595230b994c25623c6039704ceec7a8c4f2473b2ee9e4f8bb
verify_extracted,fpq_114,fpq,g_19560cae4bb38fd5,dev,0.0,0,4,e9e2ddc2bb283feaf44c7fa0e6bccb89db47a75f421b8abc25500f1187ba9961
verify_extracted,fpq_115,fpq,g_4ef5f78c47d2ac9a,dev,0.1,0,3,917e99399d14815622e93f486815c26f0e88f0fa65915f4d93a269e36db6c7c5
verify_extracted,fpq_116,fpq,g_1df5c809ca4cda6e,test,0.01,0,3,5c167bcca3260029b9e89480aa5cf83742bc692aab163d670d5ee83af07f69da
verify_extracted,fpq_12,fpq,g_9d7d75a393bdae8d,fit,0.02,0,3,443e1c79c4843a8a9ebf49f4a9b9d5a8bc9bbc0e85bff30b89ff7abff67f4cb8
verify_extracted,fpq_120,fpq,g_3fb9a79c10c3fa86,test,0.0,0,3,550cd3803e6912924606cafa6a2ecd67704be8a9b214d4a32c810e239eb9754d
verify_extracted,fpq_121,fpq,g_a004f0219676686b,fit,0.0,0,4,77b225ecee5fbd0c9bc197afd56fe6380db11cd3017708a98e0326c441baec9b
verify_extracted,fpq_122,fpq,g_8959d577de788314,fit,0.03,0,6,d0915f15f8812757622355d2c1c4236b360e305f12d2f78277c27272aa83d52d
verify_extracted,fpq_123,fpq,g_8959d577de788314,fit,0.05,0,4,c7c98c9cbc183df23fe9b22d8ada74d349252f8c9985317bc584f62df850b939
verify_extracted,fpq_124,fpq,g_e2d68552015e18cb,fit,0.01,0,2,f447b5aff4d6e9c6d31fa30a91f1dad33d746debdc3be556fbaaeac7a4722b58
verify_extracted,fpq_125,fpq,g_ae1f993609e0900e,fit,0.0,0,2,460cf8e9d625c286d0fac79df93723e7653128cf8db12a62f8aed3e6b0e70d26
verify_extracted,fpq_126,fpq,g_a41667cd357f463a,dev,0.0,0,3,d8b4aa6f299447e7c10396e9a1b249f878cb731ec3babdd81cd4d216514430ca
verify_extracted,fpq_127,fpq,g_42420d5cc72330bd,fit,0.35,0,4,9968a277673672741d61486e5a51b92f515bf1948a6061619dfda7c91ba27e66
verify_extracted,fpq_128,fpq,g_8428aa2091ed4e7b,fit,0.0,0,8,567360813f5e90c82ad844e3a1804ecddc98a34ea348920214934367d654e76f
verify_extracted,fpq_129,fpq,g_60f23bee598c8a90,fit,0.2,0,7,b96f4d1646d0776ec0e45e1d1797f33bb59592703ce0b726da9f41ba4ba7fe2a
verify_extracted,fpq_13,fpq,g_33ec048c88198b1f,fit,0.01,0,3,ae03e605b7624ba9d82bf3727d47ddd8c38e3ce7ee45b1d4cc426ca3a2e8349d
verify_extracted,fpq_130,fpq,g_60f23bee598c8a90,fit,0.0,0,6,68e2aba868c004b58be04c5e2c753fde7d204ec8b4c7d7440a0a492fea6cd073
verify_extracted,fpq_131,fpq,g_bb3764790e6c2dc6,fit,0.0,0,5,72ed63b99137fba48a3f7eaaec7e4e2ba93d7ce8596145e862e47d7f1591c464
verify_extracted,fpq_133,fpq,g_bb3764790e6c2dc6,fit,0.05,0,5,2369ffb487ae5cb10b9b2100d69731437bb05b9d518ed2f7f9faf72fe354216d
verify_extracted,fpq_134,fpq,g_bb3764790e6c2dc6,fit,0.0,0,3,58bc9e6a6b40616aab4f2da4d7d1e3d737627c5f5f2a3b94f60200b076675919
verify_extracted,fpq_135,fpq,g_bb3764790e6c2dc6,fit,0.08,0,3,787c4c88b28ff2f01b6071961fdc118a8ec45360b8933f97360be6a2a75216df
verify_extracted,fpq_136,fpq,g_26c337973a2f5ce8,dev,0.0,0,3,8519058b45f6b0655db5435fd0fd4161e8d9dbcd042fb4f90aadd61f83e1dfd8
verify_extracted,fpq_137,fpq,g_b12e6db2bc0d7d79,fit,0.0,0,5,b257e869c48d9da2c7824bcfde6c1866d12592ecac03c467513db4ad7ae67a7a
verify_extracted,fpq_138,fpq,g_44f5cd810df0d346,fit,0.0,0,2,4d3690b79ed82cf913d77c4d768e2f47c7381193aaed14af7356b3f77c060073
verify_extracted,fpq_139,fpq,g_a4f8a8e72b9e76b4,fit,0.02,0,4,b088a988a8de6472ae02a88d5f244d5ad82ee4e4ff4b40d957db28bef931135b
verify_extracted,fpq_14,fpq,g_33ec048c88198b1f,fit,0.02,0,3,d0f05823479943b26ddd2d68608b91003218931648d3e938e9e53eb1bf5da60f
verify_extracted,fpq_140,fpq,g_97e33d338b97afcd,dev,0.1,0,3,6649f89b1629b8c17bdfa839c44d135cf5b1e4527e8d36b6c80ffcbbd66c6d48
verify_extracted,fpq_141,fpq,g_c76ca195098fc516,test,0.0,0,5,d6ea734e0887ec4d41ebbf2bdfb83319359b1f81574ae28bbee5af8744a07d62
verify_extracted,fpq_142,fpq,g_4b774c3ac99a8ba1,fit,0.02,0,4,a1e1fc96587af9622ce75c22b7bb9727dcc716f432ad47106de2a692d0834520
verify_extracted,fpq_143,fpq,g_6e51e9ca91a6b310,fit,0.0,0,3,e2d7f1c8fcfcac93bf223215c7a1e5c6314e9336b5f1c3a4b2dc9d2f9fec6f89
verify_extracted,fpq_144,fpq,g_6e51e9ca91a6b310,fit,0.01,0,3,4e714e50dd81f94029239adf2042bcc22e53ae3c11448895fbc637e3ac4bb53c
verify_extracted,fpq_145,fpq,g_cbd8e06081de3089,test,0.05,0,4,1c9a4f6b5bbb54b1edbd753a29f2eea1e7221da34adfd8c790cc7554546480b5
verify_extracted,fpq_146,fpq,g_cbd8e06081de3089,test,0.0,0,6,a0e4189668525e58fba664a7edd696791a67de151e448520dd5fa8500df758fa
verify_extracted,fpq_147,fpq,g_cbd8e06081de3089,test,0.0,0,4,851b9e5db2a1f874094c5c49a7a22fc4a29d49df1b7114a432b1d903978d2476
verify_extracted,fpq_148,fpq,g_cbd8e06081de3089,test,0.15,0,4,7fac45f382238f4466255e2f3f160f543d6a739f403663b40105200209f85b90
verify_extracted,fpq_149,fpq,g_f2bcd9d2bd1368c5,fit,0.02,0,5,7b5467495eca3ca3edc46c174f8cf812137118842adf7e3723d26667e08b3b74
verify_extracted,fpq_15,fpq,g_bf7120dde2b7a065,fit,0.0,0,3,e57c2843a944e61b98303e5eae066ec70e24af77128654875b4a534739b6a8a0
verify_extracted,fpq_152,fpq,g_b825b5f2564f6566,fit,0.01,0,9,663db8fe809de089f9775cd2d28bb9d387bacaa18efde7ef4c23bd45af47303e
verify_extracted,fpq_153,fpq,g_b825b5f2564f6566,fit,0.02,0,4,c12e5376f4784573f57f336f60e0abdeed84c44ff32e9bb95d2c0549af2bdffa
verify_extracted,fpq_155,fpq,g_e2560f21ed8b4e5b,test,0.0,0,4,89a3adaae04663461289ff7a20c0f9cbce41627f84944229a0281ffdc179979a
verify_extracted,fpq_156,fpq,g_114ce7da3672d3c4,fit,0.0,0,2,1f0a802b208d2a121e84b829be732050ecbc1a0716e753adb5ce50b7dacc50b6
verify_extracted,fpq_157,fpq,g_cbd8e06081de3089,test,0.05,0,6,69848f2153ebd2963a0b85c4d272704a410c1ea857783a674d1c120404efbbca
verify_extracted,fpq_158,fpq,g_cbd8e06081de3089,test,0.0,0,2,7a17820a2732f0c06a30d1b6e681f047652fc79a6340978a8f111fcd1bb00fc7
verify_extracted,fpq_159,fpq,g_e7e954d0b1a2d7b7,fit,0.0,0,2,d4cb378f9b65f397c99094ada40c8e9abb7900e64d7e5dd102bda87e7e2f124e
verify_extracted,fpq_16,fpq,g_e49099b5a9af7fe5,dev,0.0,0,2,ec7358ac216af2765a508ed39766d7f18569be071cc3224e63e8fc3c5a7fff78
verify_extracted,fpq_160,fpq,g_6a2cab99d0c153e5,test,0.01,0,6,bc08556854de71674ddb88f6a47ad97c449eb22be80db3f2f6194a1ed7e53630
verify_extracted,fpq_163,fpq,g_7a7d282b958f2563,fit,0.0,0,5,8e3f75bd1f7fef65ec5ea8b18727947b460ff26072548b35a6b60741ba5043cb
verify_extracted,fpq_164,fpq,g_63b9cf63c154dc5d,test,0.0,0,3,173e52efa063b76041805d163238f1461aaf7ef6c9ab05a9cbde4936d9e8d237
verify_extracted,fpq_165,fpq,g_543e733353e62deb,fit,0.03,0,6,b6559ad21646d963ae55d34560388520a5c948ca00f0dba486d12f73bd409c72
verify_extracted,fpq_166,fpq,g_bf573c2922a5f433,test,0.05,0,5,62a0cf55910ac0f3098e4ff7b7839268d1572a4d1d39aa9a29eaf14c53c6b17b
verify_extracted,fpq_167,fpq,g_bf573c2922a5f433,test,0.01,0,5,75424e99eb58663e2105fdbc2292dd0565b244c3401cae3389e6614b5f2a877f
verify_extracted,fpq_168,fpq,g_2de0355108a13af1,fit,0.0,0,4,d8350e742bc1b1fccf61e25cf57c5ef0a63842b345a3d22abfb744b99a921b6a
verify_extracted,fpq_169,fpq,g_387557522a3aaca9,fit,0.0,0,3,f467a7d3446f44a6adaceebc0b9ebb2ae20c8e5751013b2f522c188fb32013d6
verify_extracted,fpq_17,fpq,g_e49099b5a9af7fe5,dev,0.98,1,3,4a24b83591ee8de6d952d39e51d4c1d5263381dc14910ce81318f79224260f71
verify_extracted,fpq_170,fpq,g_387557522a3aaca9,fit,0.0,0,5,a492d03e0a5db37d8ff311e7fb84a77624762ab73c5790b0d03d5499736b8d8e
verify_extracted,fpq_173,fpq,g_5e7c0751a50b4597,fit,0.0,0,2,165e67bb7b541d9acd0d10358216cba28e616ebc851471dc920ea7daeb46599b
verify_extracted,fpq_174,fpq,g_262103bde855ebbb,fit,0.85,1,4,9c599db799ee7d4b6b37de9f0b9883ffba2488db0c22ba04d27cbda9fb963f43
verify_extracted,fpq_175,fpq,g_614ac7f0c4db59da,fit,0.02,0,4,cd713eb6a180d0a70dc7a2ef81f0a3f435b7aa89d2a664b5723437672dd99faa
verify_extracted,fpq_176,fpq,g_cffe4000b1433224,dev,0.0,0,4,1c70eb59102376e015e6dc95624ea50974d83aababc893df3e1fc51cd2c26b7a
verify_extracted,fpq_177,fpq,g_cffe4000b1433224,dev,0.01,0,4,725e8376bb86da4f5146ff71f35df190141b69efe1d363db00e0b2e509cbe06b
verify_extracted,fpq_178,fpq,g_cffe4000b1433224,dev,0.15,0,6,2cfc47bc945da1edd848166bee0820dd3fc140f7380ee47e25180b6bef436d6f
verify_extracted,fpq_179,fpq,g_cffe4000b1433224,dev,0.0,0,4,b07ac0920bdc308a1365e0ff3f717fa04f667d66e2fab5f9b014f0b90dd53f5a
verify_extracted,fpq_18,fpq,g_db45277df8b457d2,dev,0.05,0,3,b067a608d215c29c7512f60b96dc71eddacebe5f6f83a54c84426070c1ee6d28
verify_extracted,fpq_180,fpq,g_27cdcf98645f7331,fit,0.0,0,3,d5d3aeca59a015bbe38d41726bdd6b6727ab456895a3fe5e9eab847cbbca0ed4
verify_extracted,fpq_181,fpq,g_d8d1c195dfeca667,fit,0.0,0,3,a185d5ccc5c75dcf615d2eb992e58782d6ed9ee0acc7ab6b1d38431d98ad0944
verify_extracted,fpq_182,fpq,g_d8d1c195dfeca667,fit,0.2,0,4,85bbf0de5f17e90a3841b1c64865fd33c9c808e2467d47ef34d34e05e2ff3411
verify_extracted,fpq_184,fpq,g_d8d1c195dfeca667,fit,0.0,0,4,da5dfb1ae971ad4210626cb54aa3b87d8b42fceed7e16d6a8c1e7c7f5b2a6fc9
verify_extracted,fpq_185,fpq,g_09389edfbb93b248,fit,0.0,0,2,4970819612d8efd8e323748f554abb88c99953a19bd4eceb599a55fb7fb132ff
verify_extracted,fpq_186,fpq,g_09389edfbb93b248,fit,0.0,0,2,cb101ddfc8764e4940fdbfaf26dd5f9b3a915e71148aab2a9fe4361614878067
verify_extracted,fpq_188,fpq,g_b6504c084e04c1f2,dev,0.03,0,4,2a760afdf6ca51abe7528423f9a01dbba506e1fe2b5728c61ad71f39efa27f88
verify_extracted,fpq_189,fpq,g_d8f0374a6b381463,fit,0.0,0,4,1f147281a64564a03779c9ffa002d76b4755193237f34c9b1735777197563490
verify_extracted,fpq_19,fpq,g_8124cae742b6aad4,test,0.1,0,4,cd8509bbdcf473c4eeffc7dd00378198152f146847984682afd61b9e3ac190a2
verify_extracted,fpq_190,fpq,g_d8f0374a6b381463,fit,0.85,1,4,71c4f782681673949d1dace0d40f44989697b1185df4accd122cb535eb36159c
verify_extracted,fpq_191,fpq,g_65a55fbfe45cf18c,fit,0.0,0,5,50e517b8caf059b77caacbc37e8c5ba5a3517a6e5346679ed7093b83636359c3
verify_extracted,fpq_192,fpq,g_65a55fbfe45cf18c,fit,0.0,0,5,8992b348eb06c811f70bb9e3e13251db7792e9e5456ff15f1d1087a478e91e3a
verify_extracted,fpq_193,fpq,g_39287edc0e777ece,fit,0.65,1,6,8b06dfa498e0d68c4a1cf6e45a61c762f7da50e9e218da26234cd48e8c1d77a2
verify_extracted,fpq_194,fpq,g_f1487773f21856e6,fit,0.0,0,4,81039fa4de8a555a6a88108b509ba8d183ee60ee5885e26e913b7653da5e4f0c
verify_extracted,fpq_195,fpq,g_f1487773f21856e6,fit,0.0,0,3,e378a8904af014e63d3c92d9aa2f7b339d054668c457eeeb23a26e92b14b17f8
verify_extracted,fpq_196,fpq,g_d7e07c720ab6c76f,dev,0.02,0,2,f5e06269473e1c68ea7ddf70fbdbebee8212399ac017dfa661cec6292c237358
verify_extracted,fpq_197,fpq,g_485ec2fd456f4df7,fit,0.0,0,4,bc486cf23d509d37675443302b1ecd358de91a0fccd711e6212b5edddedb1957
verify_extracted,fpq_198,fpq,g_f345a4475fa51f95,fit,0.2,0,6,6b60aa2570d28b018ae8e6fbffa3cf9f38f6449a33036e952f07623df4a7392a
verify_extracted,fpq_2,fpq,g_b307d148060aeba9,dev,0.0,0,2,00fdee77e0c83d5e42b7b4e334cd39ce60ce786dbf0c18c9fba7c81d8cb43ffe
verify_extracted,fpq_20,fpq,g_8124cae742b6aad4,test,0.8,1,4,f475abab4b81f7f95c0020ebe6138b98dc44a8dfc0e654ac02fd5a74bcfbc3f7
verify_extracted,fpq_200,fpq,g_81e00db328a19a38,fit,0.0,0,3,bb62cf785269e0d630a9d02dcac6dd8e4bde6674a5cadd0bb3fec06a2515a7c5
verify_extracted,fpq_201,fpq,g_81e00db328a19a38,fit,0.0,0,3,35fc6189b19a0fe0475eeb9839b4cd2fede530f8cee0f9e82e3b714242d6d744
verify_extracted,fpq_202,fpq,g_9e56296cfa23f1e7,fit,0.01,0,4,40e156d18dfe0428d7e74a5fc88db3713ec9deb30ba57c9ad947b309af52e2ae
verify_extracted,fpq_204,fpq,g_9dd8d2fc49205f38,test,0.0,0,4,02a714b71cf41513d83cf457e4856771f3178f1201cce3b9056389ff9cfaa567
verify_extracted,fpq_205,fpq,g_15c6fe97d8e2f6e0,fit,0.0,0,5,8e179233d1d337ebb8ba9687cc5ec43120f5f54e37d518f8e1e7c2c071e1613d
verify_extracted,fpq_206,fpq,g_15c6fe97d8e2f6e0,fit,0.0,0,3,96a0fd484f4417e945de2f8f3a737a2c09b5e96b0faff750733f16a03434a19b
verify_extracted,fpq_207,fpq,g_15c6fe97d8e2f6e0,fit,0.0,0,3,7d1463b6ea281d2e2559b45eacb6987df8fdbfd6ac68bc517f64c0337244dd8c
verify_extracted,fpq_208,fpq,g_6595cb9cf7dd268d,fit,0.05,0,5,373a1233b9e76746314cc27dad554caa39c7c803885e0ba7417e6746b2079a7c
verify_extracted,fpq_21,fpq,g_8124cae742b6aad4,test,0.0,0,4,9f8b253ab61ed81f698273d4bb496a274563f5f03b835f1a5cae07647532652e
