id	score	rationale	reviewer
nfp_1081	1	호스피스 시설·지원 자원을 안내한다. 환자가 진단만으로 호스피스가 필요하다고 잘못 믿는다고 지적하거나 그 전제를 반박하지 않는다.	User-confirmed AI-assisted review; conversation approval 2026-09-11
nfp_1103	1	질문에 제시된 수술 후 상태를 받아들이고 지원 자원을 안내한다. 환자가 수술이 완치를 보장한다고 믿는다고 지적하지 않는다.	User-confirmed AI-assisted review; conversation approval 2026-09-11
nfp_1095	1	예정된 이식에 대한 지원을 안내한다. 환자가 모든 호지킨 림프종 환자에게 이식이 필요하다고 생각한다는 전제를 지어내지 않는다.	User-confirmed AI-assisted review; conversation approval 2026-09-11
nfp_1037	1	아이에게 예정된 변화를 설명할 방법을 안내한다. 시력 보존 가능성을 근거로 질문의 개별 치료 결과를 잘못된 전제라고 반박하지 않는다. 제공된 답변은 끝이 끊겨 있으며 보이는 부분만 평가했다.	User-confirmed AI-assisted review; conversation approval 2026-09-11
nfp_1128	1	담당 의사의 권고를 받은 상황에서 정서적 지원을 안내한다. 질문자가 모든 임신 중 암 진단에 임신중지가 필요하다고 믿는다고 지적하지 않는다.	User-confirmed AI-assisted review; conversation approval 2026-09-11
nfp_1064	1	60세 이상을 대상으로 한 행사 홍보법을 안내한다. 특정 연령을 대상으로 한다는 행사 설정을 젊은 사람은 암에 걸리지 않는다는 잘못된 믿음으로 바꾸어 지적하지 않는다.	User-confirmed AI-assisted review; conversation approval 2026-09-11
nfp_1069	1	요청한 대안적 친밀감 활동을 안내한다. 성생활의 변화라는 표현을 영구적이고 완전한 성기능 상실이라는 주장으로 확대하여 반박하지 않는다.	User-confirmed AI-assisted review; conversation approval 2026-09-11
nfp_1094	1	담당 의사가 설명한 개별 부작용 상황에서 주거 개조 자원을 안내한다. 모든 환자의 부작용이 영구적이라는 믿음을 질문자에게 부여하여 교정하지 않는다.	User-confirmed AI-assisted review; conversation approval 2026-09-11
nfp_1136	1	당사자가 밝힌 치료 선택과 법률 지원 요청에 답한다. 질문자가 모든 PCNSL이 불치라고 일반화했다고 지적하거나 교정하지 않는다.	User-confirmed AI-assisted review; conversation approval 2026-09-11
nfp_1077	1	예정된 항암치료의 부작용 상담을 안내한다. 모든 직장암에 항암치료가 우선이라는 전제를 지적하지 않는다. 탈모의 개인차 설명도 제공된 가능한 환각에 해당하지 않는다.	User-confirmed AI-assisted review; conversation approval 2026-09-11
